date,category,issue,name,price
2016-03-23,MERCHANDISE,DEC151839,MARVEL FACT FILES #116 (C: 0-1-2),$6.50
2016-03-23,MERCHANDISE,DEC151840,MARVEL FACT FILES #117 (C: 0-1-2),$6.50
2016-03-23,MERCHANDISE,JUN151760,MARVEL FACT FILES #91 THANOS HEAD COVER (C: 0-1-2),$6.00
2016-03-23,MERCHANDISE,JUN151761,MARVEL FACT FILES #92 THOR & MEDUSA COVER (C: 0-1-2),$6.00
2016-03-23,MERCHANDISE,JUL151898,MARVEL FACT FILES #95 RED LEADER COVER (C: 0-1-2),$6.00
2016-03-23,MERCHANDISE,JUL151899,MARVEL FACT FILES #96 ULTIMATES COVER (C: 0-1-2),$6.00
2016-03-23,MERCHANDISE,AUG152019,MARVEL FACT FILES #98 SHE-HULK COVER (C: 0-1-2),$6.00
2016-03-23,MERCHANDISE,AUG152020,MARVEL FACT FILES #99 WARPATH COVER (C: 0-1-2),$6.00
2016-03-23,MERCHANDISE,SEP152305,MARVEL LADY DEADPOOL BISHOUJO STATUE (C: 1-1-2),$74.99
2016-03-23,MERCHANDISE,SEP152304,MARVEL NOW MAGIK ARTFX+ STATUE (C: 1-1-2),$59.99
2016-03-23,MERCHANDISE,AUG158154,MARVEL NOW PX MAGNETO WHITE COSTUME ARTFX+ STATUE (C: 1-1-2),$59.99
2016-03-23,MERCHANDISE,SEP152307,MASS EFFECT TALI ZORAH BISHOUJO STATUE (C: 1-1-2),$79.99
2016-03-23,MERCHANDISE,AUG158891,MGS V PHANTOM PAIN SAHELANTHROPUS PLASTIC MODEL KIT,$159.99
2016-03-23,MERCHANDISE,SEP152317,MONOGATARI OSHINO SHINOBU ANI-STATUE PRIVATE VER (C: 1-1-2),$79.99
2016-03-23,MERCHANDISE,SEP152314,NIHONTOU MITSUHIDE AKECHI SAMURAI CHOPSTICKS (C: 1-1-2),$14.99
2016-03-23,MERCHANDISE,OCT158923,POCKET POP DEADPOOL BLACK SUIT VIN FIG KEYCHAIN (C: 1-1-2),$5.99
2016-03-23,MERCHANDISE,DEC158020,POP BVS WONDER WOMAN VINYL FIG (C: 1-1-2),$10.99
2016-03-23,MERCHANDISE,DEC158873,POP PINS DC UNIVERSE 1966 BATMAN (C: 1-1-2),$3.99
2016-03-23,MERCHANDISE,DEC158874,POP PINS DC UNIVERSE 1966 CATWOMAN (C: 1-1-2),$3.99
2016-03-23,MERCHANDISE,DEC158875,POP PINS DC UNIVERSE 1966 JOKER (C: 1-1-2),$3.99
2016-03-23,MERCHANDISE,DEC158876,POP PINS DC UNIVERSE 1966 ROBIN (C: 1-1-2),$3.99
2016-03-23,MERCHANDISE,DEC158877,POP PINS DC UNIVERSE JOKER (C: 1-1-2),$3.99
2016-03-23,MERCHANDISE,DEC158878,POP PINS DC UNIVERSE PENGUIN (C: 1-1-2),$3.99
2016-03-23,MERCHANDISE,DEC158879,POP PINS DC UNIVERSE RIDDLER (C: 1-1-2),$3.99
2016-03-23,MERCHANDISE,DEC158880,POP PINS DC UNIVERSE ROBIN (C: 1-1-2),$3.99
2016-03-23,MERCHANDISE,DEC158881,POP PINS DC UNIVERSE SUPERMAN (C: 1-1-2),$3.99
2016-03-23,MERCHANDISE,DEC158882,POP PINS DC UNIVERSE WONDER WOMAN (C: 1-1-2),$3.99
2016-03-23,MERCHANDISE,DEC158883,POP PINS FLASH TV CAPTAIN COLD (C: 1-1-2),$3.99
2016-03-23,MERCHANDISE,DEC158168,POP ZOOTOPIA MR. BIG VINYL FIG (C: 1-1-2),$10.99
2016-03-23,MERCHANDISE,SEP158847,PUROKAKU HEROES NJPW SHINSUKE NAKAMURA PVC FIG RED VER (C: 1,$58.99
2016-03-23,MERCHANDISE,JUL158684,SAILOR MOON OCHATOMO COSMIC HEART CAFE MINI FIG 8PC BMB DS (,$7.49
2016-03-23,MERCHANDISE,MAY158425,SAILOR MOON PS KINO MAKOTO WUO PVC FIG (C: 1-1-2) (PP #1188),$70.99
2016-03-23,MERCHANDISE,SEP152316,SHINING RESONANCE RINNA MAYFIELD ANI STATUE (C: 1-1-2),$99.99
2016-03-23,MERCHANDISE,FEB162977,STAR MUNCHKIN GUEST ARTIST LEN PERALTA ED (C: 0-1-2),$29.95
2016-03-23,MERCHANDISE,NOV151901,STAR TREK STARSHIPS FIG MAG #64 PHOENIX (C: 0-1-2),$21.95
2016-03-23,MERCHANDISE,DEC151835,STAR TREK STARSHIPS FIG MAG #65 XINDI AQUATIC SHIP (C: 0-1-2,$21.95
2016-03-23,MERCHANDISE,DEC151836,STAR TREK STARSHIPS FIG MAG #66 SS RAVEN (C: 0-1-2),$21.95
2016-03-23,MERCHANDISE,OCT152855,STAR WARS X-WING GHOST EXP PACK (C: 0-1-2),$49.95
2016-03-23,MERCHANDISE,OCT152857,STAR WARS X-WING INQUISITORS TIE EXP PACK (C: 0-1-2),$14.95
2016-03-23,MERCHANDISE,OCT152858,STAR WARS X-WING MIST HUNTER EXP PACK (C: 0-1-2),$19.95
2016-03-23,MERCHANDISE,OCT152859,STAR WARS X-WING PUNISHING ONE EXP PACK (C: 0-1-2),$29.95
2016-03-23,MERCHANDISE,FEB162978,SUPERNATURAL MONOPOLY (NET) (C: 1-1-2),$PI
2016-03-23,MERCHANDISE,SEP158663,TOPPS 2016 MLB WACKY PACKAGES T/C COLL BOX (NET) (C: 1-1-1),$5.99
2016-03-23,MERCHANDISE,NOV152192,WALKING DEAD BUST BANK NEGAN (C: 1-1-2),$22.99
2016-03-23,MERCHANDISE,OCT152861,WH40K CONQUEST LCG WHAT LURKS BELOW WAR EXP (C: 0-1-2),$14.95
2017-03-29,DARK HORSE COMICS,DEC160111,ALIENS DEFIANCE #10,$3.99
2017-03-29,DARK HORSE COMICS,JAN170149,ALIENS VS PREDATOR LIFE AND DEATH #4,$3.99
2017-03-29,DARK HORSE COMICS,NOV160051,BLACK HAMMER TP VOL 01 SECRET ORIGINS (C: 0-1-2),$14.99
2017-03-29,DARK HORSE COMICS,NOV160027,BPRD HELL ON EARTH TP VOL 15 COMETH THE HOUR (C: 0-1-2),$19.99
2017-03-29,DARK HORSE COMICS,NOV160097,CONAN THE SLAYER #7,$3.99
2017-03-29,DARK HORSE COMICS,NOV160052,CRYPTOCRACY TP (C: 0-1-2),$19.99
2017-03-29,DARK HORSE COMICS,NOV160058,DARK HORSE NUMBER ONES TP (C: 0-1-2),$6.00
2017-03-29,DARK HORSE COMICS,JAN170165,ELFQUEST FINAL QUEST #19,$3.99
2017-03-29,DARK HORSE COMICS,SEP160147,ELTINGVILLE CLUB LUNCHBOX (C: 0-1-2),$14.99
2017-03-29,DARK HORSE COMICS,NOV160076,EMILY AND THE STRANGERS HC VOL 03 ROAD TO NOWHERE TOUR (C: 0,$12.99
2017-03-29,DARK HORSE COMICS,SEP160135,FRAZETTA DEATH DEALER LUNCHBOX (C: 0-1-2),$14.99
2017-03-29,DARK HORSE COMICS,SEP160138,HELLBOY BPRD LUNCHBOX (C: 0-1-2),$14.99
2017-03-29,DARK HORSE COMICS,NOV160073,HENCHGIRL TP (C: 0-1-2),$17.99
2017-03-29,DARK HORSE COMICS,JAN170102,LOBSTER JOHNSON PIRATES GHOST #1,$3.99
2017-03-29,DARK HORSE COMICS,SEP160114,RG VEDA OMNIBUS TP VOL 02 (C: 0-1-2),$24.99
2017-03-29,DARK HORSE COMICS,JAN170122,SERENITY NO POWER IN THE VERSE #6 (OF 6) MAIN DOS SANTOS CVR,$3.99
2017-03-29,DARK HORSE COMICS,JAN170123,SERENITY NO POWER IN THE VERSE #6 (OF 6) VAR JEANTY CVR,$3.99
2017-03-29,DARK HORSE COMICS,JAN170106,VISITOR HOW AND WHY HE STAYED #2 (OF 5),$3.99
2017-03-29,DC COMICS,JAN170331,ADAM STRANGE FUTURE QUEST SPECIAL #1,$4.99
2017-03-29,DC COMICS,JAN170332,ADAM STRANGE FUTURE QUEST SPECIAL #1 VAR ED,$4.99
2017-03-29,DC COMICS,JAN170243,BATGIRL ANNUAL #1,$4.99
2017-03-29,DC COMICS,OCT160340,BATMAN ANIMATED BATMAN ROBIN MUTANT 3 PACK,$70.00
2017-03-29,DC COMICS,JAN170333,BOOSTER GOLD FLINTSTONES SPECIAL #1,$4.99
2017-03-29,DC COMICS,JAN170334,BOOSTER GOLD FLINTSTONES SPECIAL #1 VAR ED,$4.99
2017-03-29,DC COMICS,JAN170414,CLEAN ROOM #17 (MR),$3.99
2017-03-29,DC COMICS,JAN170324,DARK KNIGHT III MASTER RACE #8 (OF 9),$5.99
2017-03-29,DC COMICS,JAN170326,DARK KNIGHT III MASTER RACE #8 (OF 9) JANSON VAR ED,$5.99
2017-03-29,DC COMICS,JAN170329,DARK KNIGHT III MASTER RACE #8 (OF 9) LEE VAR ED,$5.99
2017-03-29,DC COMICS,JAN170328,DARK KNIGHT III MASTER RACE #8 (OF 9) MILLER VAR ED,$5.99
2017-03-29,DC COMICS,JAN170325,DARK KNIGHT III MASTER RACE #8 (OF 9) ROSSMO VAR ED,$5.99
2017-03-29,DC COMICS,JAN170327,DARK KNIGHT III MASTER RACE #8 (OF 9) SIENKIEWICZ VAR ED,$5.99
2017-03-29,DC COMICS,SEP160385,DC BOMBSHELLS THE FLASH JESSE QUICK STATUE,$125.00
2017-03-29,DC COMICS,APR160440,DESIGNER SERIES CONNER SPACESUIT HARLEY QUINN AF,$28.00
2017-03-29,DC COMICS,APR160442,DESIGNER SERIES CONNER TRADITIONAL HARLEY QUINN AF,$28.00
2017-03-29,DC COMICS,JAN170369,DOOM PATROL DIRECTORS CUT #1 (RES) (MR),$5.99
2017-03-29,DC COMICS,DEC160407,DOOM PATROL TP BOOK 03 (MR),$34.99
2017-03-29,DC COMICS,JAN170335,GREEN LANTERN SPACE GHOST SPECIAL #1,$4.99
2017-03-29,DC COMICS,JAN170336,GREEN LANTERN SPACE GHOST SPECIAL #1 VAR ED,$4.99
2017-03-29,DC COMICS,AUG160293,HARLEYS LITTLE BLACK BOOK #6,$4.99
2017-03-29,DC COMICS,DEC160374,HELLBLAZER TP VOL 01 THE POISON TRUTH (REBIRTH),$16.99
2017-03-29,DC COMICS,JAN170291,JUSTICE LEAGUE OF AMERICA #3,$2.99
2017-03-29,DC COMICS,JAN170292,JUSTICE LEAGUE OF AMERICA #3 VAR ED,$2.99
2017-03-29,DC COMICS,JAN170355,KAMANDI CHALLENGE #3 (OF 12),$3.99
2017-03-29,DC COMICS,JAN170356,KAMANDI CHALLENGE #3 (OF 12) VAR ED,$3.99
2017-03-29,DC COMICS,JAN170337,SUICIDE SQUAD BANANA SPLITS SPECIAL #1,$4.99
2017-03-29,DC COMICS,JAN170338,SUICIDE SQUAD BANANA SPLITS SPECIAL #1 VAR ED,$4.99
2017-03-29,DC COMICS,DEC160388,SUPERGIRL BY PETER DAVID TP BOOK 02,$29.99
2017-03-29,DC COMICS,DEC160383,TEEN TITANS BY GEOFF JOHNS TP BOOK 01,$29.99
2017-03-29,DC COMICS,JAN170313,TITANS ANNUAL #1,$4.99
2017-03-29,DC COMICS,JAN170415,UNFOLLOW #17 (MR),$3.99
2017-03-29,DC COMICS,DEC160391,WONDER WOMAN & THE JUSTICE LEAGUE AMERICA TP VOL 01,$24.99
2017-03-29,IDW PUBLISHING,JAN170580,ANIMAL NOIR #2 (OF 4),$3.99
2017-03-29,IDW PUBLISHING,JAN170581,ANIMAL NOIR #2 (OF 4) SUBSCRIPTION VAR,$3.99
2017-03-29,IDW PUBLISHING,JAN170455,BACK TO THE FUTURE BIFF TO THE FUTURE #3 (OF 6),$3.99
2017-03-29,IDW PUBLISHING,JAN170456,BACK TO THE FUTURE BIFF TO THE FUTURE #3 (OF 6) SUB VAR,$3.99
2017-03-29,IDW PUBLISHING,JAN170567,COMIC BOOK HISTORY OF COMICS #5 (OF 6),$3.99
2017-03-29,IDW PUBLISHING,JAN170568,COMIC BOOK HISTORY OF COMICS #5 (OF 6) SUBSCRIPTION VAR,$3.99
2017-03-29,IDW PUBLISHING,JAN170572,COSMIC SCOUNDRELS #2 (OF 5),$3.99
2017-03-29,IDW PUBLISHING,JAN170573,COSMIC SCOUNDRELS #2 (OF 5) SUBSCRIPTION VAR,$3.99
2017-03-29,IDW PUBLISHING,JAN170604,DUCK AVENGER NEW ADVENTURES TP BOOK 01,$24.99
2017-03-29,IDW PUBLISHING,DEC160444,GABRIEL RODRIGUEZ LOCKE & KEY COVERS ARTIST ED PORTFOLIO HC,$39.99
2017-03-29,IDW PUBLISHING,JAN170511,GI JOE A REAL AMERICAN HERO #238,$3.99
2017-03-29,IDW PUBLISHING,JAN170512,GI JOE A REAL AMERICAN HERO #238 SUBSCRIPTION VAR,$3.99
2017-03-29,IDW PUBLISHING,DEC160589,HAUNTED HORROR HC VOL 05 SCREAMING SKULLS,$24.99
2017-03-29,IDW PUBLISHING,DEC160554,JEM & THE HOLOGRAMS #24,$3.99
2017-03-29,IDW PUBLISHING,DEC160555,JEM & THE HOLOGRAMS #24 SUBSCRIPTION VAR,$3.99
2017-03-29,IDW PUBLISHING,DEC160471,MASK MOBILE ARMORED STRIKE KOMMAND #4,$3.99
2017-03-29,IDW PUBLISHING,DEC160472,MASK MOBILE ARMORED STRIKE KOMMAND #4 SUB VAR A,$3.99
2017-03-29,IDW PUBLISHING,DEC160473,MASK MOBILE ARMORED STRIKE KOMMAND #4 SUB VAR B,$3.99
2017-03-29,IDW PUBLISHING,JAN170434,ORPHAN BLACK DEVIATIONS #1 (OF 6),$4.99
2017-03-29,IDW PUBLISHING,JAN170435,ORPHAN BLACK DEVIATIONS #1 (OF 6) MASH-UP VAR,$4.99
2017-03-29,IDW PUBLISHING,DEC160475,REVOLUTION DLX HC DIRECT MARKET EXC,$49.99
2017-03-29,IDW PUBLISHING,DEC160488,ROM #8,$3.99
2017-03-29,IDW PUBLISHING,DEC160489,ROM #8 SUBSCRIPTION VAR A,$3.99
2017-03-29,IDW PUBLISHING,DEC160490,ROM #8 SUBSCRIPTION VAR B,$3.99
2017-03-29,IDW PUBLISHING,DEC160491,ROM #8 SUBSCRIPTION VAR C,$3.99
2017-03-29,IDW PUBLISHING,JAN170524,STAR TREK BOLDLY GO #6,$3.99
2017-03-29,IDW PUBLISHING,JAN170525,STAR TREK BOLDLY GO #6 SUBSCRIPTION VAR,$3.99
2017-03-29,IDW PUBLISHING,JAN170494,TRANSFORMERS LOST LIGHT #4,$3.99
2017-03-29,IDW PUBLISHING,JAN170495,TRANSFORMERS LOST LIGHT #4 SUBSCRIPTION VAR A,$3.99
2017-03-29,IDW PUBLISHING,JAN170496,TRANSFORMERS LOST LIGHT #4 SUBSCRIPTION VAR B,$3.99
2017-03-29,IDW PUBLISHING,DEC160508,TRANSFORMERS TILL ALL ARE ONE #8,$3.99
2017-03-29,IDW PUBLISHING,DEC160509,TRANSFORMERS TILL ALL ARE ONE #8 SUBSCRIPTION VAR,$3.99
2017-03-29,IDW PUBLISHING,JAN170629,WEIRD LOVE #17,$4.99
2017-03-29,IDW PUBLISHING,JAN170451,X-FILES (2016) #12,$3.99
2017-03-29,IDW PUBLISHING,JAN170452,X-FILES (2016) #12 SUBSCRIPTION VAR,$3.99
2017-03-29,IMAGE COMICS,JAN170641,AFAR TP,$14.99
2017-03-29,IMAGE COMICS,JAN170680,DEADLY CLASS #27 CVR A CRAIG & BOYD (MR),$3.99
2017-03-29,IMAGE COMICS,JAN170681,DEADLY CLASS #27 CVR B CYPRESS (MR),$3.99
2017-03-29,IMAGE COMICS,JAN170682,DEADLY CLASS #27 CVR C DEL REY (MR),$3.99
2017-03-29,IMAGE COMICS,JAN170734,HADRIANS WALL #5 (MR),$3.99
2017-03-29,IMAGE COMICS,JAN170775,IMAGE PLUS #12 (WALKING DEAD HERES NEGAN PT 12) (NET) (MR),$1.99
2017-03-29,IMAGE COMICS,OCT160686,INVINCIBLE TP VOL 23,$16.99
2017-03-29,IMAGE COMICS,AUG160644,LAZARUS #26 (MR),$3.99
2017-03-29,IMAGE COMICS,JAN178494,LAZARUS #26 CVR B WOMENS HISTORY MONTH VAR (MR),$3.99
2017-03-29,IMAGE COMICS,JAN170668,MAGDALENA TP FOUR VOLUME SET,$49.99
2017-03-29,IMAGE COMICS,JAN170740,MAYDAY #5 (OF 5) (MR),$3.99
2017-03-29,IMAGE COMICS,JAN170742,MOONSHINE #6 CVR A RISSO (MR),$2.99
2017-03-29,IMAGE COMICS,JAN170743,MOONSHINE #6 CVR B CHIANG (MR),$2.99
2017-03-29,IMAGE COMICS,DEC168660,MOONSHINE #6 CVR C WOMENS HISTORY MONTH CHARITY VAR (MR),$2.99
2017-03-29,IMAGE COMICS,JAN178369,OLD GUARD #1 2ND PTG (MR),$3.99
2017-03-29,IMAGE COMICS,JAN170748,OLD GUARD #2 (MR),$3.99
2017-03-29,IMAGE COMICS,DEC168667,OLD GUARD #2 CVR B WOMENS HISTORY MONTH CHARITY VAR (MR),$3.99
2017-03-29,IMAGE COMICS,JAN170749,OUTCAST BY KIRKMAN & AZACETA #26 (MR),$2.99
2017-03-29,IMAGE COMICS,JAN170752,POSTAL #19 (MR),$3.99
2017-03-29,IMAGE COMICS,JAN170850,SAGA TP VOL 07 (MR),$14.99
2017-03-29,IMAGE COMICS,DEC160781,SUNSTONE HC BOOK 01 (MR),$39.99
2017-03-29,IMAGE COMICS,DEC160787,VELVET DLX ED HC (MR),$49.99
2017-03-29,MARVEL COMICS,JAN171075,ALL NEW X-MEN #19,$3.99
2017-03-29,MARVEL COMICS,JAN171108,ASTONISHING ANT-MAN TP VOL 03 TRIAL OF ANT-MAN,$15.99
2017-03-29,MARVEL COMICS,JAN170956,AVENGERS #5.1,$3.99
2017-03-29,MARVEL COMICS,JAN171029,BLACK WIDOW #12,$3.99
2017-03-29,MARVEL COMICS,JAN171122,CAPTAIN AMERICA FALCON SECRET EMPIRE TP NEW PTG,$19.99
2017-03-29,MARVEL COMICS,JAN178386,CHAMPIONS #4 2ND PTG RAMOS VAR,$3.99
2017-03-29,MARVEL COMICS,JAN178387,CHAMPIONS #5 2ND PTG RAMOS VAR,$3.99
2017-03-29,MARVEL COMICS,JAN171064,DEADPOOL AND MERCS FOR MONEY #9,$3.99
2017-03-29,MARVEL COMICS,JAN171043,GHOST RIDER #5,$3.99
2017-03-29,MARVEL COMICS,JAN171101,GUARDIANS OF GALAXY ALL NEW MARVEL TREASURY ED TP,$15.99
2017-03-29,MARVEL COMICS,JAN171037,GUIDE TO MARVEL CINEMATIC UNIV MARVELS DOCTOR STRANGE,$3.99
2017-03-29,MARVEL COMICS,JAN170963,INFAMOUS IRON MAN #6,$3.99
2017-03-29,MARVEL COMICS,JAN170945,INHUMANS PRIME #1,$4.99
2017-03-29,MARVEL COMICS,JAN170949,INHUMANS PRIME #1 SOOK VAR,$4.99
2017-03-29,MARVEL COMICS,JAN170946,INHUMANS PRIME #1 STEGMAN VENOMIZED VAR,$4.99
2017-03-29,MARVEL COMICS,JAN171131,IRON FIST LIVING WEAPON TP COMPLETE COLLECTION,$34.99
2017-03-29,MARVEL COMICS,JAN170938,MAN-THING #2 (OF 5),$3.99
2017-03-29,MARVEL COMICS,JAN170981,MIGHTY CAPTAIN MARVEL #3,$3.99
2017-03-29,MARVEL COMICS,JAN170984,OCCUPY AVENGERS #5,$3.99
2017-03-29,MARVEL COMICS,JAN171074,OLD MAN LOGAN #20,$3.99
2017-03-29,MARVEL COMICS,DEC168891,RESURRXION FREE PREVIEWS SPOTLIGHT (BUNDLE OF 25) (Net),$5.00
2017-03-29,MARVEL COMICS,JAN171136,SPIDER-MAN COMPLETE CLONE SAGA EPIC TP VOL 03 NEW PTG,$34.99
2017-03-29,MARVEL COMICS,JAN171116,SPIDER-MAN MILES MORALES TP VOL 02,$17.99
2017-03-29,MARVEL COMICS,JAN171001,SPIDER-WOMAN #17,$3.99
2017-03-29,MARVEL COMICS,JAN171051,STAR-LORD #5,$3.99
2017-03-29,MARVEL COMICS,JAN171053,THANOS #5,$3.99
2017-03-29,MARVEL COMICS,JAN171031,THUNDERBOLTS #11,$3.99
2017-03-29,MARVEL COMICS,JAN171126,X-MEN EPIC COLLECTION TP SECOND GENESIS,$39.99
2017-03-29,MARVEL COMICS,JAN170940,X-MEN PRIME #1,$4.99
2017-03-29,MARVEL COMICS,JAN170942,X-MEN PRIME #1 ANKA VENOMIZED VAR,$4.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN171883,(USE MAY178233) SWEET LULLABY GN,$19.99
2017-03-29,COMICS & GRAPHIC NOVELS,OCT161290,ADVENTURE TIME ORIGINAL GN VOL 09 BRAIN ROBBERS (C: 1-1-2),$14.99
2017-03-29,COMICS & GRAPHIC NOVELS,DEC161181,ANIMOSITY #6 (MR),$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,FEB171809,AUDUBON ON THE WINGS OF THE WORLD GN (C: 0-1-0),$22.95
2017-03-29,COMICS & GRAPHIC NOVELS,JAN171477,BACKSTAGERS #8 (OF 8),$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,NOV161367,BLAKE & MORTIMER GN VOL 24 TESTAMENT OF WILLIAM S (C: 1-1-0),$15.95
2017-03-29,COMICS & GRAPHIC NOVELS,FEB171650,CARTOON UTOPIA GN (C: 0-1-2),$24.99
2017-03-29,COMICS & GRAPHIC NOVELS,FEB171782,CASTOFFS TP VOL 01,$12.99
2017-03-29,COMICS & GRAPHIC NOVELS,DEC161776,CELLS AT WORK GN VOL 03 (C: 1-1-0),$12.99
2017-03-29,COMICS & GRAPHIC NOVELS,DEC161323,CINEMA PURGATORIO #9 (MR),$6.99
2017-03-29,COMICS & GRAPHIC NOVELS,DEC161324,CINEMA PURGATORIO #9 ANCIENT TOME PREMIUM CVR (MR),$9.99
2017-03-29,COMICS & GRAPHIC NOVELS,DEC161326,CINEMA PURGATORIO #9 CODE PRU CVR (MR),$6.99
2017-03-29,COMICS & GRAPHIC NOVELS,DEC161327,CINEMA PURGATORIO #9 MODDED CVR (MR),$6.99
2017-03-29,COMICS & GRAPHIC NOVELS,DEC161325,CINEMA PURGATORIO #9 PERFECT UNION CVR (MR),$6.99
2017-03-29,COMICS & GRAPHIC NOVELS,DEC161328,CINEMA PURGATORIO #9 VAST CVR (MR),$6.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN171827,CLOUD RIDERS GN PRINCESS LEILANI & THE WIND SPINNERS,$9.99
2017-03-29,COMICS & GRAPHIC NOVELS,MAY161575,COMPLETE JIM APARO CHARLTON PHANTOM HC (C: 0-1-0),$49.99
2017-03-29,COMICS & GRAPHIC NOVELS,JUL161211,CRYPT OF SCREAMS #1 LTD SIGNED CVR (MR) (C: 0-1-2),$9.99
2017-03-29,COMICS & GRAPHIC NOVELS,OCT161391,DAMOCLES GN VOL 04 EROS & THANATOS (C: 0-1-1),$11.95
2017-03-29,COMICS & GRAPHIC NOVELS,NOV161518,DF BATMAN TMNT #2 DF EXC HAESER (C: 0-1-2),$19.84
2017-03-29,COMICS & GRAPHIC NOVELS,JUL161571,DF CIVIL WAR II #3 STAN LEE SGN (C: 0-1-2),$699.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN171906,DISNEY X MICKEY GN VOL 02 CONTEST (C: 0-0-1),$7.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN171907,DISNEY X MICKEY HC VOL 02 CONTEST (C: 0-0-1),$12.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN172125,DIVINITY III STALINVERSE #4 CVR A PALOSZ,$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN172126,DIVINITY III STALINVERSE #4 CVR B MULLER,$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN171630,DOC SAVAGE RING OF FIRE #1 (OF 4) CVR A SCHOONOVER,$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN171631,DOC SAVAGE RING OF FIRE #1 (OF 4) CVR B MARQUES,$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,OCT161834,DOCTOR WHO 10TH TP VOL 05 ARENA OF FEAR,$14.99
2017-03-29,COMICS & GRAPHIC NOVELS,AUG161899,DOCTOR WHO 11TH HC VOL 06 MALIGNANT TRUTH (C: 0-1-2),$19.99
2017-03-29,COMICS & GRAPHIC NOVELS,NOV161797,DOCTOR WHO 9TH #11 CVR A DIAZ,$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,NOV161798,DOCTOR WHO 9TH #11 CVR B PHOTO,$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,NOV161799,DOCTOR WHO 9TH #11 CVR C SMITH,$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,NOV161800,DOCTOR WHO 9TH #11 CVR D FLOREAN,$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN171252,EQUILIBRIUM #2 LTD ED PHOTO CVR,$7.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN172152,FLYING WITCH GN VOL 01 (C: 0-1-0),$10.95
2017-03-29,COMICS & GRAPHIC NOVELS,DEC161607,GALAXYS FOR HIRE #2 (OF 4) CVR A JACKSON,$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN171682,GARTH ENNIS RED TEAM DOUBLE TAP #8 (OF 9) (MR),$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN172145,GENERATION ZERO #8 CVR A EVANS,$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN172146,GENERATION ZERO #8 CVR B JONES,$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN172246,GFT RED AGENT HUMAN ORDER #5 CVR A RIVEIRO (MR),$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN172247,GFT RED AGENT HUMAN ORDER #5 CVR B ATKINS (MR),$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN172248,GFT RED AGENT HUMAN ORDER #5 CVR C GREEN (MR),$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN172249,GFT RED AGENT HUMAN ORDER #5 CVR D RICHARDSON (MR),$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN172230,GFT VAN HELSING VS THE MUMMY OF AMUN RA #3 (OF 5) CVR A LUIS,$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN172231,GFT VAN HELSING VS THE MUMMY OF AMUN RA #3 (OF 5) CVR B ROSE,$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN172232,GFT VAN HELSING VS THE MUMMY OF AMUN RA #3 (OF 5) CVR C ABEL,$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN172233,GFT VAN HELSING VS THE MUMMY OF AMUN RA #3 (OF 5) CVR D METC,$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,DEC161551,GRAND PASSION #4 (OF 5) CVR A CASSADAY (MR),$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN171240,HATCHET #0 BLANK SKETCH CVR (MR),$5.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN171239,HATCHET #0 BUZ CVR (MR),$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN171237,HATCHET #0 LAROCQUE CVR (MR),$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN171238,HATCHET #0 MANGUM CVR (MR),$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN171241,HATCHET #0 R-RATED CVR (MR),$7.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN171227,HILLBILLY TP VOL 01,$17.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN172030,HOOKJAW #4 (OF 5) CVR A BOYLE,$3.99
2017-03-29,COMICS & GRAPHIC NOVELS,JAN172031,HOOKJAW #4 (OF 5) CVR B MANDRAKE,$3.99
