date,category,issue,name,price
2017-01-04,IDW PUBLISHING,AUG160503,RAGNAROK #11 SUBSCRIPTION VAR,$4.99
2017-01-04,IDW PUBLISHING,NOV160443,STAR TREK BOLDLY GO #4,$3.99
2017-01-04,IDW PUBLISHING,NOV160444,STAR TREK BOLDLY GO #4 SUBSCRIPTION VAR,$3.99
2017-01-04,IDW PUBLISHING,SEP160595,STRAWBERRY SHORTCAKE #8,$3.99
2017-01-04,IDW PUBLISHING,SEP160596,STRAWBERRY SHORTCAKE #8 SUBSCRIPTION VAR A,$3.99
2017-01-04,IDW PUBLISHING,SEP160597,STRAWBERRY SHORTCAKE #8 SUBSCRIPTION VAR B,$3.99
2017-01-04,IDW PUBLISHING,NOV160516,UNCLE SCROOGE #22,$3.99
2017-01-04,IDW PUBLISHING,NOV160517,UNCLE SCROOGE #22 SUBSCRIPTION VAR,$3.99
2017-01-04,IDW PUBLISHING,OCT160469,WYNONNA EARP LEGENDS DOC HOLLIDAY #2,$3.99
2017-01-04,IDW PUBLISHING,OCT160470,WYNONNA EARP LEGENDS DOC HOLLIDAY #2 SUBSCRIPTION VAR A,$3.99
2017-01-04,IDW PUBLISHING,OCT160471,WYNONNA EARP LEGENDS DOC HOLLIDAY #2 SUBSCRIPTION VAR B,$3.99
2017-01-04,IDW PUBLISHING,NOV160491,YAKUZA DEMON KILLERS #3 (OF 6),$3.99
2017-01-04,IDW PUBLISHING,NOV160492,YAKUZA DEMON KILLERS #3 (OF 6) SUBSCRIPTION VAR,$3.99
2017-01-04,IMAGE COMICS,JUN160614,AUTUMNLANDS TOOTH & CLAW #14 (MR),$2.99
2017-01-04,IMAGE COMICS,NOV160612,BLACK SCIENCE #27 (MR),$3.99
2017-01-04,IMAGE COMICS,NOV160613,CANNIBAL #4 (MR),$3.99
2017-01-04,IMAGE COMICS,OCT160658,EDENS FALL GN,$14.99
2017-01-04,IMAGE COMICS,JAN160676,MORNING GLORIES TP VOL 10 EXPULSION,$14.99
2017-01-04,IMAGE COMICS,NOV160631,NAILBITER #28 (MR),$2.99
2017-01-04,IMAGE COMICS,NOV168640,SAGA #41 NEW PTG,$2.99
2017-01-04,IMAGE COMICS,SEP160779,TOKYO GHOST SKATE DECK (C: 0-1-1),$75.00
2017-01-04,IMAGE COMICS,NOV160652,WALKING DEAD #162 CVR A ADLARD & STEWART (MR),$2.99
2017-01-04,IMAGE COMICS,NOV160653,WALKING DEAD #162 CVR B CONNECTING ADAMS & FAIRBAIRN (MR),$2.99
2017-01-04,IMAGE COMICS,NOV160604,WICKED & DIVINE #25 CVR A MCKELVIE & WILSON (MR),$3.50
2017-01-04,IMAGE COMICS,NOV160605,WICKED & DIVINE #25 CVR B LENOX (MR),$3.50
2017-01-04,MARVEL COMICS,JUL161060,AMAZING SPIDER-MAN WORLDWIDE HC VOL 01,$34.99
2017-01-04,MARVEL COMICS,NOV160840,AVENGERS #3,$3.99
2017-01-04,MARVEL COMICS,NOV160842,CAPTAIN AMERICA SAM WILSON #17,$3.99
2017-01-04,MARVEL COMICS,NOV160856,CHAMPIONS #4,$3.99
2017-01-04,MARVEL COMICS,OCT168990,DARTH MAUL WOLVERINE TRUE BELIEVERS POSTCARDS (BUNDLE OF 100,$5.00
2017-01-04,MARVEL COMICS,NOV160832,DEADPOOL THE DUCK #1 (OF 5) CONNECTING VAR NOW,$3.99
2017-01-04,MARVEL COMICS,NOV160829,DEADPOOL THE DUCK #1 (OF 5) NOW,$3.99
2017-01-04,MARVEL COMICS,NOV160920,DEADPOOL TOO SOON #4 (OF 4),$4.99
2017-01-04,MARVEL COMICS,JUL161061,DEADPOOL WORLDS GREATEST HC VOL 01,$34.99
2017-01-04,MARVEL COMICS,NOV160903,HAWKEYE #2,$3.99
2017-01-04,MARVEL COMICS,OCT161028,INCREDIBLE HULK EPIC COLLECTION TP FUTURE IMPERFECT,$39.99
2017-01-04,MARVEL COMICS,SEP168753,MARVEL FREE PREVIEWS MONSTERS UNLEASHED (BUNDLE OF 25) (NET),$5.00
2017-01-04,MARVEL COMICS,NOV160908,MARVEL GUARDIANS OF GALAXY VOL 2 PRELUDE #1 (OF 2),$2.99
2017-01-04,MARVEL COMICS,NOV160934,MARVEL UNIVERSE AVENGERS ULTRON REVOLUTION #7,$2.99
2017-01-04,MARVEL COMICS,SEP168755,MONSTERS UNLEASHED #1 PARTY INVITE POSTCARDS (BUNDLE OF 100),$5.00
2017-01-04,MARVEL COMICS,OCT161023,MONSTERS UNLEASHED PRELUDE TP,$34.99
2017-01-04,MARVEL COMICS,NOV160787,MOON KNIGHT #10 NOW,$3.99
2017-01-04,MARVEL COMICS,OCT161034,MU ULT SPIDER-MAN VS SINISTER SIX DIGEST TP VOL 01,$9.99
2017-01-04,MARVEL COMICS,OCT161029,NEW AVENGERS BY BENDIS COMPLETE COLLECTION TP VOL 01,$39.99
2017-01-04,MARVEL COMICS,NOV160895,NOVA #2,$3.99
2017-01-04,MARVEL COMICS,NOV160919,OLD MAN LOGAN #16,$3.99
2017-01-04,MARVEL COMICS,NOV160872,SCARLET WITCH #14,$3.99
2017-01-04,MARVEL COMICS,NOV160892,SLAPSTICK #2,$3.99
2017-01-04,MARVEL COMICS,NOV160861,SPIDER-MAN 2099 #19,$3.99
2017-01-04,MARVEL COMICS,SEP161136,STAR WARS HAN SOLO TP,$16.99
2017-01-04,MARVEL COMICS,NOV160795,UNSTOPPABLE WASP #1 NOW,$3.99
2017-01-04,MARVEL COMICS,NOV160844,UNWORTHY THOR #3 (OF 5),$3.99
2017-01-04,MARVEL COMICS,AUG168924,US AVENGERS #1 NOTO SECRET VAR NOW,$3.99
2017-01-04,MARVEL COMICS,OCT160723,US AVENGERS #1 NOW,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161961,A&A #11 CVR A KANO,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161962,A&A #11 CVR B LAMING,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161284,ADVENTURE TIME #60 (C: 1-0-0),$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161285,ADVENTURE TIME #60 SUBSCRIPTION LE CVR (C: 1-0-0),$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161492,AOD XENA FOREVER AND A DAY #1 (OF 6) NYCC EXC ED,$10.00
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161165,ARCHIE 75TH ANNIV DIGEST #5,$6.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161166,ARCHIE COMICS DOUBLE DIGEST #275,$4.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161764,ARPEGGIO OF BLUE STEEL GN VOL 09 (MR) (C: 0-1-0),$12.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161996,BEHIND THE SCENES GN VOL 03 (C: 1-0-1),$9.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161493,BETTY BOOP #1 (OF 4) NYCC EXC ED,$10.00
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161253,BIG TROUBLE LITTLE CHINA ESCAPE NEW YORK #4 SUBSCRIPTION MAS,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161252,BIG TROUBLE LITTLE CHINA ESCAPE NEW YORK #4 WRAPAROUND CVR,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161494,BOBS BURGERS ONGOING #15 NYCC EXC ED,$10.00
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161451,BOO WORLDS CUTEST DOG WALK IN THE PARK HC,$12.99
